9.714285714285713880e+01,5.019607843137254832e+01,9.848739495798319865e+01,8.549019607843136725e+01
9.471074380165289597e+01,5.307692307692308020e+01,9.190082644628098762e+01,7.961538461538461320e+01
9.663865546218487168e+01,5.529411764705882604e+01,9.714285714285713880e+01,8.509803921568627061e+01
9.471074380165289597e+01,4.615384615384615330e+01,8.727272727272726627e+01,6.653846153846153300e+01
9.768595041322313932e+01,4.076923076923076650e+01,9.256198347107438451e+01,6.115384615384615330e+01
8.612521150592216657e+01,6.102362204724409622e+01,9.627749576988155411e+01,9.055118110236220730e+01
8.809917355371901238e+01,5.153846153846154010e+01,9.834710743801652200e+01,8.961538461538461320e+01
8.595890410958904226e+01,5.219123505976095601e+01,7.414383561643835208e+01,5.896414342629481808e+01
9.186046511627907307e+01,5.155038759689922756e+01,8.720930232558139039e+01,6.860465116279070230e+01
8.115702479338843034e+01,5.884615384615384670e+01,8.165289256198347800e+01,7.384615384615383959e+01
