1.000000000000000000e+02,6.263736263736263510e+01,1.000000000000000000e+02,8.681318681318681740e+01
7.494305239179954015e+01,5.026455026455026598e+01,9.772209567198177638e+01,8.518518518518519045e+01
9.476082004555809135e+01,5.026455026455026598e+01,1.000000000000000000e+02,8.412698412698412653e+01
9.977220956719817480e+01,5.555555555555555713e+01,9.840546697038723778e+01,7.830687830687830342e+01
1.000000000000000000e+02,6.349206349206349387e+01,9.908883826879271339e+01,8.835978835978835377e+01
9.886104783599088819e+01,6.190476190476190510e+01,9.954441913439634959e+01,8.941798941798941769e+01
1.000000000000000000e+02,6.507936507936507553e+01,9.908883826879271339e+01,8.571428571428570820e+01
9.726027397260274654e+01,4.893617021276595835e+01,9.977168949771689199e+01,8.351063829787234738e+01
9.931662870159453860e+01,6.455026455026454357e+01,9.931662870159453860e+01,8.624338624338624015e+01
9.977220956719817480e+01,6.031746031746031633e+01,1.000000000000000000e+02,9.206349206349206327e+01
9.954337899543378398e+01,7.074468085106383342e+01,1.000000000000000000e+02,9.521276595744680549e+01
9.640179910044977873e+01,5.470383275261323774e+01,9.955022488755622589e+01,9.303135888501742556e+01
9.392523364485981574e+01,5.054347826086956275e+01,9.953271028037383417e+01,8.858695652173912549e+01
9.841986455981941617e+01,5.445026178010471085e+01,9.819413092550790623e+01,8.848167539267015513e+01
